'OMNIDIRECTIONAL FLUENCE ANALYSIS'
'MULASSIS tag ml-v01-26'
'geant4-10-01-patch-03 (5-February-2016)'
'File Created: Tue Nov 12 23:52:29 2024'
'FLU_BDY',  1, 2, ' '
'FLU_PAR', -1, 'proton', ' '
'FLU_AMN',  1,   0., 'deg'
'FLU_AMX',  1, 180., 'deg'
Lower edge of energy bin [keV], Upper edge of energy bin [keV], Mean energy of bin [keV], Fluence [particles/cm2/bin], Error in fluence/flux [particles/cm2/bin]
 1.0000e+00, 1.2589e+00, 1.2088e+00, 2.2186e+08, 2.0036e+08
 1.2589e+00, 1.5849e+00, 1.5184e+00, 3.4667e+07, 2.6980e+07
 1.5849e+00, 1.9953e+00, 1.8052e+00, 4.0618e+07, 1.8822e+07
 1.9953e+00, 2.5119e+00, 2.2595e+00, 3.7501e+07, 1.7116e+07
 2.5119e+00, 3.1623e+00, 2.7485e+00, 5.3641e+07, 1.7896e+07
 3.1623e+00, 3.9811e+00, 3.5238e+00, 5.6704e+07, 2.2483e+07
 3.9811e+00, 5.0119e+00, 4.6329e+00, 2.8556e+08, 1.3455e+08
 5.0119e+00, 6.3096e+00, 5.6667e+00, 1.2617e+08, 4.4637e+07
 6.3096e+00, 7.9433e+00, 7.2233e+00, 1.4059e+08, 2.8852e+07
 7.9433e+00, 1.0000e+01, 8.7231e+00, 2.3545e+08, 5.4577e+07
 1.0000e+01, 1.2589e+01, 1.1268e+01, 4.0925e+08, 9.9740e+07
 1.2589e+01, 1.5849e+01, 1.4163e+01, 2.7087e+08, 4.1720e+07
 1.5849e+01, 1.9953e+01, 1.6855e+01, 8.4264e+08, 4.4679e+08
 1.9953e+01, 2.5119e+01, 2.3071e+01, 7.1162e+08, 2.0004e+08
 2.5119e+01, 3.1623e+01, 2.8184e+01, 8.5997e+08, 1.4876e+08
 3.1623e+01, 3.9811e+01, 3.5691e+01, 8.3473e+08, 7.8185e+07
 3.9811e+01, 5.0119e+01, 4.4938e+01, 8.9353e+08, 7.8775e+07
 5.0119e+01, 6.3096e+01, 5.7034e+01, 1.0181e+09, 8.4888e+07
 6.3096e+01, 7.9433e+01, 7.1779e+01, 1.2723e+09, 8.6342e+07
 7.9433e+01, 1.0000e+02, 8.9481e+01, 1.4334e+09, 9.3281e+07
 1.0000e+02, 1.2589e+02, 1.1256e+02, 1.9312e+09, 1.0835e+08
 1.2589e+02, 1.5849e+02, 1.4226e+02, 2.6176e+09, 1.2668e+08
 1.5849e+02, 1.9953e+02, 1.7891e+02, 3.1098e+09, 1.6268e+08
 1.9953e+02, 2.5119e+02, 2.2600e+02, 3.8899e+09, 1.6496e+08
 2.5119e+02, 3.1623e+02, 2.8799e+02, 5.9914e+09, 7.1935e+08
 3.1623e+02, 3.9811e+02, 3.5705e+02, 7.3743e+09, 2.2417e+08
 3.9811e+02, 5.0119e+02, 4.5247e+02, 1.0472e+10, 3.2125e+08
 5.0119e+02, 6.3096e+02, 5.6753e+02, 1.4866e+10, 3.1509e+08
 6.3096e+02, 7.9433e+02, 7.1285e+02, 2.0799e+10, 4.4288e+08
 7.9433e+02, 1.0000e+03, 8.9733e+02, 2.5877e+10, 4.3903e+08
 1.0000e+03, 1.2589e+03, 1.1302e+03, 3.3798e+10, 7.2646e+08
 1.2589e+03, 1.5849e+03, 1.4224e+03, 4.1520e+10, 5.3916e+08
 1.5849e+03, 1.9953e+03, 1.7843e+03, 4.7762e+10, 6.0335e+08
 1.9953e+03, 2.5119e+03, 2.2509e+03, 5.6248e+10, 6.8267e+08
 2.5119e+03, 3.1623e+03, 2.8300e+03, 6.5215e+10, 7.5354e+08
 3.1623e+03, 3.9811e+03, 3.5633e+03, 7.1970e+10, 7.9607e+08
 3.9811e+03, 5.0119e+03, 4.4792e+03, 7.0407e+10, 8.2666e+08
 5.0119e+03, 6.3096e+03, 5.6279e+03, 6.8165e+10, 8.0871e+08
 6.3096e+03, 7.9433e+03, 7.0772e+03, 6.3902e+10, 8.1301e+08
 7.9433e+03, 1.0000e+04, 8.8586e+03, 5.3374e+10, 7.3899e+08
 1.0000e+04, 1.2589e+04, 1.1180e+04, 4.0844e+10, 1.2111e+09
 1.2589e+04, 1.5849e+04, 1.3932e+04, 2.2910e+10, 4.9769e+08
 1.5849e+04, 1.9953e+04, 1.7569e+04, 1.1559e+10, 3.4391e+08
 1.9953e+04, 2.5119e+04, 2.2185e+04, 6.5021e+09, 3.0890e+08
 2.5119e+04, 3.1623e+04, 2.7569e+04, 3.2299e+09, 1.8989e+08
 3.1623e+04, 3.9811e+04, 3.4857e+04, 1.2844e+09, 1.0059e+08
 3.9811e+04, 5.0119e+04, 4.3930e+04, 6.8534e+08, 6.9113e+07
 5.0119e+04, 6.3096e+04, 5.6448e+04, 5.1351e+08, 9.4384e+07
 6.3096e+04, 7.9433e+04, 7.0371e+04, 2.6990e+08, 4.6245e+07
 7.9433e+04, 1.0000e+05, 9.0347e+04, 2.3147e+08, 4.6521e+07
 1.0000e+05, 1.2589e+05, 1.1592e+05, 1.9313e+08, 6.0634e+07
 1.2589e+05, 1.5849e+05, 1.4212e+05, 1.4658e+08, 3.1452e+07
 1.5849e+05, 1.9953e+05, 1.7902e+05, 1.1573e+08, 3.6999e+07
