'OMNIDIRECTIONAL FLUENCE ANALYSIS'
'MULASSIS tag ml-v01-26'
'geant4-10-01-patch-03 (5-February-2016)'
'File Created: Tue Nov 12 23:32:49 2024'
'FLU_BDY',  1, 2, ' '
'FLU_PAR', -1, 'proton', ' '
'FLU_AMN',  1,   0., 'deg'
'FLU_AMX',  1, 180., 'deg'
Lower edge of energy bin [keV], Upper edge of energy bin [keV], Mean energy of bin [keV], Fluence [particles/cm2/bin], Error in fluence/flux [particles/cm2/bin]
 1.0000e+00, 1.2589e+00, 1.0855e+00, 4.0289e+03, 2.9900e+03
 1.2589e+00, 1.5849e+00, 1.3869e+00, 3.4552e+03, 2.4816e+03
 1.5849e+00, 1.9953e+00, 1.9452e+00, 1.2222e+03, 1.2222e+03
 1.9953e+00, 2.5119e+00, 2.2180e+00, 3.3877e+04, 3.2916e+04
 2.5119e+00, 3.1623e+00, 2.8813e+00, 2.8349e+03, 1.6376e+03
 3.1623e+00, 3.9811e+00, 3.2251e+00, 2.9561e+04, 2.2973e+04
 3.9811e+00, 5.0119e+00, 4.5464e+00, 1.2755e+04, 7.2707e+03
 5.0119e+00, 6.3096e+00, 6.1453e+00, 1.5717e+04, 1.2320e+04
 6.3096e+00, 7.9433e+00, 7.2513e+00, 1.1418e+04, 4.2022e+03
 7.9433e+00, 1.0000e+01, 9.5254e+00, 9.6173e+03, 3.4294e+03
 1.0000e+01, 1.2589e+01, 1.1207e+01, 2.9535e+04, 7.6338e+03
 1.2589e+01, 1.5849e+01, 1.4682e+01, 3.7945e+04, 2.2907e+04
 1.5849e+01, 1.9953e+01, 1.7217e+01, 2.5954e+04, 6.7962e+03
 1.9953e+01, 2.5119e+01, 2.2598e+01, 2.5175e+04, 5.6093e+03
 2.5119e+01, 3.1623e+01, 2.8120e+01, 2.9502e+04, 6.0186e+03
 3.1623e+01, 3.9811e+01, 3.5466e+01, 2.9795e+04, 6.0167e+03
 3.9811e+01, 5.0119e+01, 4.4603e+01, 4.1208e+04, 7.8699e+03
 5.0119e+01, 6.3096e+01, 5.5285e+01, 4.4733e+04, 7.4560e+03
