'OMNIDIRECTIONAL FLUENCE ANALYSIS'
'MULASSIS tag ml-v01-26'
'geant4-10-01-patch-03 (5-February-2016)'
'File Created: Tue Nov 12 23:45:53 2024'
'FLU_BDY',  1, 1, ' '
'FLU_PAR', -1, 'proton', ' '
'FLU_AMN',  1,   0., 'deg'
'FLU_AMX',  1, 180., 'deg'
Lower edge of energy bin [keV], Upper edge of energy bin [keV], Mean energy of bin [keV], Fluence [particles/cm2/bin], Error in fluence/flux [particles/cm2/bin]
 1.0000e+00, 1.2589e+00, 1.1469e+00, 5.7377e+07, 3.7393e+07
 1.2589e+00, 1.5849e+00, 1.4004e+00, 6.3673e+07, 4.0809e+07
 1.5849e+00, 1.9953e+00, 1.7849e+00, 1.6696e+08, 7.4475e+07
 1.9953e+00, 2.5119e+00, 2.2691e+00, 9.2914e+07, 2.4379e+07
 2.5119e+00, 3.1623e+00, 2.6387e+00, 1.6486e+09, 1.3771e+09
 3.1623e+00, 3.9811e+00, 3.6234e+00, 3.1411e+08, 8.0733e+07
 3.9811e+00, 5.0119e+00, 4.5403e+00, 3.8256e+08, 8.9743e+07
 5.0119e+00, 6.3096e+00, 5.8390e+00, 6.3390e+08, 1.7078e+08
 6.3096e+00, 7.9433e+00, 7.1785e+00, 9.4522e+08, 2.2490e+08
 7.9433e+00, 1.0000e+01, 9.4304e+00, 7.4980e+09, 4.7247e+09
 1.0000e+01, 1.2589e+01, 1.1172e+01, 2.6845e+09, 6.8535e+08
 1.2589e+01, 1.5849e+01, 1.4329e+01, 1.7661e+09, 3.2705e+08
 1.5849e+01, 1.9953e+01, 1.7200e+01, 6.3864e+09, 4.1778e+09
 1.9953e+01, 2.5119e+01, 2.4139e+01, 1.4814e+10, 1.2243e+10
 2.5119e+01, 3.1623e+01, 2.7528e+01, 1.9623e+09, 4.9061e+08
 3.1623e+01, 3.9811e+01, 3.6411e+01, 2.4999e+09, 5.8428e+08
 3.9811e+01, 5.0119e+01, 4.3899e+01, 3.0671e+09, 5.6264e+08
 5.0119e+01, 6.3096e+01, 5.5251e+01, 1.3556e+09, 3.5253e+08
 6.3096e+01, 7.9433e+01, 6.7739e+01, 1.0085e+09, 2.7948e+08
 7.9433e+01, 1.0000e+02, 9.2391e+01, 1.3484e+09, 7.1779e+08
 1.0000e+02, 1.2589e+02, 1.1264e+02, 7.3056e+11, 4.1732e+09
 1.2589e+02, 1.5849e+02, 1.4165e+02, 7.7796e+11, 4.0652e+09
 1.5849e+02, 1.9953e+02, 1.7801e+02, 7.7829e+11, 4.5808e+09
 1.9953e+02, 2.5119e+02, 2.2429e+02, 7.4123e+11, 3.9980e+09
 2.5119e+02, 3.1623e+02, 2.8130e+02, 6.5968e+11, 4.1500e+09
 3.1623e+02, 3.9811e+02, 3.5442e+02, 5.6221e+11, 3.3816e+09
