'OMNIDIRECTIONAL FLUENCE ANALYSIS'
'MULASSIS tag ml-v01-26'
'geant4-10-01-patch-03 (5-February-2016)'
'File Created: Tue Nov 12 23:51:09 2024'
'FLU_BDY',  1, 2, ' '
'FLU_PAR', -1, 'proton', ' '
'FLU_AMN',  1,   0., 'deg'
'FLU_AMX',  1, 180., 'deg'
Lower edge of energy bin [keV], Upper edge of energy bin [keV], Mean energy of bin [keV], Fluence [particles/cm2/bin], Error in fluence/flux [particles/cm2/bin]
 1.0000e+00, 1.2589e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00
 1.2589e+00, 1.5849e+00, 1.3706e+00, 7.2077e+06, 5.0969e+06
 1.5849e+00, 1.9953e+00, 1.7934e+00, 8.0110e+06, 5.6847e+06
 1.9953e+00, 2.5119e+00, 2.2464e+00, 2.1549e+07, 1.1181e+07
 2.5119e+00, 3.1623e+00, 2.6788e+00, 8.5354e+06, 6.0366e+06
 3.1623e+00, 3.9811e+00, 3.4676e+00, 4.1784e+07, 2.1293e+07
 3.9811e+00, 5.0119e+00, 4.6203e+00, 6.9323e+07, 2.0594e+07
 5.0119e+00, 6.3096e+00, 5.8976e+00, 1.5411e+08, 9.5900e+07
 6.3096e+00, 7.9433e+00, 7.0440e+00, 2.0724e+08, 1.0818e+08
 7.9433e+00, 1.0000e+01, 9.2814e+00, 1.2193e+08, 3.6585e+07
 1.0000e+01, 1.2589e+01, 1.1336e+01, 1.1412e+08, 2.5711e+07
 1.2589e+01, 1.5849e+01, 1.3973e+01, 1.6308e+08, 3.0701e+07
 1.5849e+01, 1.9953e+01, 1.7928e+01, 2.4382e+08, 4.9282e+07
 1.9953e+01, 2.5119e+01, 2.2733e+01, 3.5690e+08, 9.1545e+07
 2.5119e+01, 3.1623e+01, 2.8305e+01, 2.2317e+08, 3.7127e+07
 3.1623e+01, 3.9811e+01, 3.5614e+01, 3.1343e+08, 5.3731e+07
 3.9811e+01, 5.0119e+01, 4.5129e+01, 3.5695e+08, 5.6368e+07
 5.0119e+01, 6.3096e+01, 5.6140e+01, 4.3935e+08, 5.1381e+07
 6.3096e+01, 7.9433e+01, 7.1515e+01, 4.6597e+08, 5.3195e+07
 7.9433e+01, 1.0000e+02, 9.0793e+01, 5.4801e+08, 6.2718e+07
 1.0000e+02, 1.2589e+02, 1.1394e+02, 7.4170e+08, 6.6427e+07
 1.2589e+02, 1.5849e+02, 1.4122e+02, 8.3461e+08, 6.7960e+07
 1.5849e+02, 1.9953e+02, 1.8031e+02, 1.3106e+09, 8.4797e+07
 1.9953e+02, 2.5119e+02, 2.2660e+02, 1.7655e+09, 1.0412e+08
 2.5119e+02, 3.1623e+02, 2.8370e+02, 2.4376e+09, 1.2496e+08
 3.1623e+02, 3.9811e+02, 3.5808e+02, 3.2548e+09, 1.3714e+08
 3.9811e+02, 5.0119e+02, 4.5191e+02, 4.8229e+09, 1.7854e+08
 5.0119e+02, 6.3096e+02, 5.6923e+02, 6.8040e+09, 3.4703e+08
 6.3096e+02, 7.9433e+02, 7.1233e+02, 9.2844e+09, 2.3968e+08
