'OMNIDIRECTIONAL FLUENCE ANALYSIS'
'MULASSIS tag ml-v01-26'
'geant4-10-01-patch-03 (5-February-2016)'
'File Created: Tue Nov 12 23:35:36 2024'
'FLU_BDY',  1, 2, ' '
'FLU_PAR', -1, 'proton', ' '
'FLU_AMN',  1,   0., 'deg'
'FLU_AMX',  1, 180., 'deg'
Lower edge of energy bin [keV], Upper edge of energy bin [keV], Mean energy of bin [keV], Fluence [particles/cm2/bin], Error in fluence/flux [particles/cm2/bin]
 1.0000e+00, 1.2589e+00, 1.0628e+00, 1.7747e+03, 1.7747e+03
 1.2589e+00, 1.5849e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00
 1.5849e+00, 1.9953e+00, 1.9585e+00, 1.1915e+03, 1.1915e+03
 1.9953e+00, 2.5119e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00
 2.5119e+00, 3.1623e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00
 3.1623e+00, 3.9811e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00
 3.9811e+00, 5.0119e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00
 5.0119e+00, 6.3096e+00, 5.6371e+00, 3.1551e+03, 1.8414e+03
 6.3096e+00, 7.9433e+00, 7.1640e+00, 3.8698e+03, 2.9186e+03
 7.9433e+00, 1.0000e+01, 9.0773e+00, 6.7675e+03, 2.7889e+03
 1.0000e+01, 1.2589e+01, 1.1274e+01, 2.6642e+03, 1.8927e+03
 1.2589e+01, 1.5849e+01, 1.4447e+01, 5.9013e+03, 3.1405e+03
 1.5849e+01, 1.9953e+01, 1.7391e+01, 7.3840e+03, 2.8344e+03
 1.9953e+01, 2.5119e+01, 2.2699e+01, 1.0536e+04, 5.0095e+03
 2.5119e+01, 3.1623e+01, 2.9027e+01, 6.8530e+03, 2.8363e+03
 3.1623e+01, 3.9811e+01, 3.5069e+01, 1.4558e+04, 4.6383e+03
 3.9811e+01, 5.0119e+01, 4.4004e+01, 1.8609e+04, 4.5460e+03
 5.0119e+01, 6.3096e+01, 5.4933e+01, 1.7816e+04, 4.8073e+03
 6.3096e+01, 7.9433e+01, 7.1464e+01, 2.7766e+04, 6.0536e+03
 7.9433e+01, 1.0000e+02, 8.9001e+01, 2.5564e+04, 5.4600e+03
 1.0000e+02, 1.2589e+02, 1.1081e+02, 3.2096e+04, 7.2291e+03
 1.2589e+02, 1.5849e+02, 1.4318e+02, 4.5925e+04, 7.7954e+03
 1.5849e+02, 1.9953e+02, 1.7704e+02, 5.6767e+04, 8.9514e+03
 1.9953e+02, 2.5119e+02, 2.2363e+02, 7.0855e+04, 1.4072e+04
 2.5119e+02, 3.1623e+02, 2.8344e+02, 8.5596e+04, 1.1177e+04
 3.1623e+02, 3.9811e+02, 3.5344e+02, 1.2683e+05, 1.3869e+04
 3.9811e+02, 5.0119e+02, 4.5105e+02, 2.0555e+05, 1.7318e+04
 5.0119e+02, 6.3096e+02, 5.6899e+02, 2.3092e+05, 1.8585e+04
 6.3096e+02, 7.9433e+02, 7.1486e+02, 3.2705e+05, 2.0986e+04
 7.9433e+02, 1.0000e+03, 8.8963e+02, 4.7007e+05, 2.5289e+04
 1.0000e+03, 1.2589e+03, 1.1282e+03, 7.0125e+05, 3.1535e+04
 1.2589e+03, 1.5849e+03, 1.4204e+03, 9.3692e+05, 3.7269e+04
 1.5849e+03, 1.9953e+03, 1.7921e+03, 1.1799e+06, 4.3057e+04
 1.9953e+03, 2.5119e+03, 2.2544e+03, 1.4377e+06, 4.6126e+04
 2.5119e+03, 3.1623e+03, 2.8441e+03, 1.8160e+06, 5.7135e+04
 3.1623e+03, 3.9811e+03, 3.5536e+03, 2.0489e+06, 5.7845e+04
