'OMNIDIRECTIONAL FLUENCE ANALYSIS'
'MULASSIS tag ml-v01-26'
'geant4-10-01-patch-03 (5-February-2016)'
'File Created: Tue Nov 12 23:55:08 2024'
'FLU_BDY',  1, 2, ' '
'FLU_PAR', -1, 'proton', ' '
'FLU_AMN',  1,   0., 'deg'
'FLU_AMX',  1, 180., 'deg'
Lower edge of energy bin [keV], Upper edge of energy bin [keV], Mean energy of bin [keV], Fluence [particles/cm2/bin], Error in fluence/flux [particles/cm2/bin]
 1.0000e+00, 1.2589e+00, 1.1251e+00, 3.9433e+03, 3.1353e+03
 1.2589e+00, 1.5849e+00, 1.4535e+00, 9.6988e+02, 9.6988e+02
 1.5849e+00, 1.9953e+00, 1.7560e+00, 4.2878e+03, 2.1707e+03
 1.9953e+00, 2.5119e+00, 2.1708e+00, 5.4527e+03, 2.4763e+03
 2.5119e+00, 3.1623e+00, 2.8181e+00, 8.4327e+03, 3.3827e+03
 3.1623e+00, 3.9811e+00, 3.5100e+00, 7.1072e+03, 3.0004e+03
 3.9811e+00, 5.0119e+00, 4.5039e+00, 1.8980e+04, 4.8305e+03
 5.0119e+00, 6.3096e+00, 5.6960e+00, 1.8295e+04, 5.5112e+03
 6.3096e+00, 7.9433e+00, 6.9869e+00, 3.7555e+04, 1.0796e+04
 7.9433e+00, 1.0000e+01, 8.9848e+00, 3.6981e+04, 7.7757e+03
 1.0000e+01, 1.2589e+01, 1.1428e+01, 5.8100e+04, 1.1257e+04
 1.2589e+01, 1.5849e+01, 1.3828e+01, 7.4563e+04, 1.7703e+04
 1.5849e+01, 1.9953e+01, 1.8024e+01, 8.6093e+04, 1.1602e+04
 1.9953e+01, 2.5119e+01, 2.2724e+01, 9.4438e+04, 1.2844e+04
 2.5119e+01, 3.1623e+01, 2.8679e+01, 9.7755e+04, 1.2582e+04
 3.1623e+01, 3.9811e+01, 3.5901e+01, 1.0191e+05, 1.1486e+04
 3.9811e+01, 5.0119e+01, 4.4508e+01, 1.4938e+05, 1.4971e+04
 5.0119e+01, 6.3096e+01, 5.6113e+01, 1.8087e+05, 1.5410e+04
 6.3096e+01, 7.9433e+01, 7.1297e+01, 1.7475e+05, 1.4916e+04
 7.9433e+01, 1.0000e+02, 8.8882e+01, 2.2036e+05, 1.6894e+04
 1.0000e+02, 1.2589e+02, 1.1268e+02, 2.9052e+05, 1.9741e+04
 1.2589e+02, 1.5849e+02, 1.4226e+02, 3.8579e+05, 2.3224e+04
 1.5849e+02, 1.9953e+02, 1.7900e+02, 4.7173e+05, 2.6025e+04
 1.9953e+02, 2.5119e+02, 2.2541e+02, 6.6207e+05, 3.1009e+04
 2.5119e+02, 3.1623e+02, 2.8496e+02, 8.2716e+05, 3.5007e+04
 3.1623e+02, 3.9811e+02, 3.5778e+02, 1.1799e+06, 4.4840e+04
 3.9811e+02, 5.0119e+02, 4.5134e+02, 1.4948e+06, 4.9128e+04
 5.0119e+02, 6.3096e+02, 5.6962e+02, 2.3102e+06, 6.4656e+04
 6.3096e+02, 7.9433e+02, 7.1396e+02, 3.0534e+06, 7.0342e+04
 7.9433e+02, 1.0000e+03, 8.9448e+02, 3.7990e+06, 7.9519e+04
 1.0000e+03, 1.2589e+03, 1.1465e+03, 6.7361e+06, 2.3893e+06
 1.2589e+03, 1.5849e+03, 1.4221e+03, 5.1995e+06, 9.2536e+04
 1.5849e+03, 1.9953e+03, 1.7844e+03, 5.9848e+06, 1.1764e+05
 1.9953e+03, 2.5119e+03, 2.2452e+03, 6.1214e+06, 1.0374e+05
 2.5119e+03, 3.1623e+03, 2.8279e+03, 6.1908e+06, 1.1948e+05
 3.1623e+03, 3.9811e+03, 3.5516e+03, 5.8679e+06, 1.0701e+05
 3.9811e+03, 5.0119e+03, 4.4544e+03, 5.1542e+06, 1.1295e+05
 5.0119e+03, 6.3096e+03, 5.6153e+03, 4.6393e+06, 1.3791e+05
 6.3096e+03, 7.9433e+03, 7.0972e+03, 3.9405e+06, 1.0164e+05
 7.9433e+03, 1.0000e+04, 8.9038e+03, 3.4551e+06, 1.0940e+05
 1.0000e+04, 1.2589e+04, 1.1194e+04, 3.3659e+06, 1.8961e+05
 1.2589e+04, 1.5849e+04, 1.4139e+04, 2.5700e+06, 8.5532e+04
 1.5849e+04, 1.9953e+04, 1.7783e+04, 2.4300e+06, 9.6413e+04
 1.9953e+04, 2.5119e+04, 2.2563e+04, 2.3695e+06, 1.0375e+05
 2.5119e+04, 3.1623e+04, 2.8307e+04, 2.3601e+06, 1.8639e+05
 3.1623e+04, 3.9811e+04, 3.5560e+04, 2.2776e+06, 8.7370e+04
 3.9811e+04, 5.0119e+04, 4.4758e+04, 2.6625e+06, 1.0487e+05
 5.0119e+04, 6.3096e+04, 5.6446e+04, 3.1745e+06, 1.0296e+05
 6.3096e+04, 7.9433e+04, 7.1224e+04, 3.7016e+06, 1.1456e+05
 7.9433e+04, 1.0000e+05, 8.9276e+04, 3.9988e+06, 1.2567e+05
 1.0000e+05, 1.2589e+05, 1.1225e+05, 3.7946e+06, 1.0917e+05
 1.2589e+05, 1.5849e+05, 1.4136e+05, 3.7150e+06, 1.1225e+05
 1.5849e+05, 1.9953e+05, 1.7756e+05, 3.0010e+06, 9.0221e+04
 1.9953e+05, 2.5119e+05, 2.2365e+05, 2.5499e+06, 9.3597e+04
 2.5119e+05, 3.1623e+05, 2.7918e+05, 1.6261e+06, 6.6763e+04
 3.1623e+05, 3.9811e+05, 3.4358e+05, 8.5582e+05, 6.6635e+04
 3.9811e+05, 5.0119e+05, 0.0000e+00, 0.0000e+00, 0.0000e+00
 5.0119e+05, 6.3096e+05, 0.0000e+00, 0.0000e+00, 0.0000e+00
 6.3096e+05, 7.9433e+05, 0.0000e+00, 0.0000e+00, 0.0000e+00
 7.9433e+05, 1.0000e+06, 0.0000e+00, 0.0000e+00, 0.0000e+00
