'OMNIDIRECTIONAL FLUENCE ANALYSIS'
'MULASSIS tag ml-v01-26'
'geant4-10-01-patch-03 (5-February-2016)'
'File Created: Tue Nov 12 23:41:22 2024'
'FLU_BDY',  1, 2, ' '
'FLU_PAR', -1, 'proton', ' '
'FLU_AMN',  1,   0., 'deg'
'FLU_AMX',  1, 180., 'deg'
Lower edge of energy bin [keV], Upper edge of energy bin [keV], Mean energy of bin [keV], Fluence [particles/cm2/bin], Error in fluence/flux [particles/cm2/bin]
 1.0000e+00, 1.2589e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00
 1.2589e+00, 1.5849e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00
 1.5849e+00, 1.9953e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00
 1.9953e+00, 2.5119e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00
 2.5119e+00, 3.1623e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00
 3.1623e+00, 3.9811e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00
 3.9811e+00, 5.0119e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00
 5.0119e+00, 6.3096e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00
 6.3096e+00, 7.9433e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00
 7.9433e+00, 1.0000e+01, 0.0000e+00, 0.0000e+00, 0.0000e+00
 1.0000e+01, 1.2589e+01, 1.0154e+01, 1.0030e+03, 1.0030e+03
 1.2589e+01, 1.5849e+01, 1.4286e+01, 1.5295e+03, 1.5295e+03
 1.5849e+01, 1.9953e+01, 1.7990e+01, 1.1882e+03, 1.1882e+03
 1.9953e+01, 2.5119e+01, 2.4407e+01, 7.2112e+03, 5.3481e+03
 2.5119e+01, 3.1623e+01, 3.0598e+01, 9.8114e+02, 9.8114e+02
 3.1623e+01, 3.9811e+01, 3.5679e+01, 2.1126e+03, 1.4949e+03
 3.9811e+01, 5.0119e+01, 4.4787e+01, 3.5808e+03, 2.0914e+03
 5.0119e+01, 6.3096e+01, 5.2015e+01, 3.0110e+03, 3.0110e+03
 6.3096e+01, 7.9433e+01, 7.3608e+01, 7.0033e+03, 2.9172e+03
 7.9433e+01, 1.0000e+02, 8.9022e+01, 6.7768e+03, 5.8717e+03
 1.0000e+02, 1.2589e+02, 1.0856e+02, 4.3160e+03, 3.1591e+03
 1.2589e+02, 1.5849e+02, 1.5058e+02, 3.2146e+03, 1.8809e+03
 1.5849e+02, 1.9953e+02, 1.7914e+02, 6.4843e+03, 2.9832e+03
 1.9953e+02, 2.5119e+02, 2.1688e+02, 6.3311e+03, 2.9271e+03
 2.5119e+02, 3.1623e+02, 2.8974e+02, 7.0642e+03, 2.9040e+03
 3.1623e+02, 3.9811e+02, 3.6862e+02, 1.6273e+04, 4.6203e+03
 3.9811e+02, 5.0119e+02, 4.5414e+02, 2.7584e+04, 5.8534e+03
 5.0119e+02, 6.3096e+02, 5.5418e+02, 4.0072e+04, 7.1656e+03
 6.3096e+02, 7.9433e+02, 7.1514e+02, 6.2790e+04, 1.0099e+04
