'OMNIDIRECTIONAL FLUENCE ANALYSIS'
'MULASSIS tag ml-v01-26'
'geant4-10-01-patch-03 (5-February-2016)'
'File Created: Tue Nov 12 23:49:28 2024'
'FLU_BDY',  1, 2, ' '
'FLU_PAR', -1, 'proton', ' '
'FLU_AMN',  1,   0., 'deg'
'FLU_AMX',  1, 180., 'deg'
Lower edge of energy bin [keV], Upper edge of energy bin [keV], Mean energy of bin [keV], Fluence [particles/cm2/bin], Error in fluence/flux [particles/cm2/bin]
 1.0000e+00, 1.2589e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00
 1.2589e+00, 1.5849e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00
 1.5849e+00, 1.9953e+00, 1.8696e+00, 1.7291e+07, 1.0356e+07
 1.9953e+00, 2.5119e+00, 2.4910e+00, 3.7195e+06, 3.7195e+06
 2.5119e+00, 3.1623e+00, 2.8766e+00, 2.2658e+07, 1.1872e+07
 3.1623e+00, 3.9811e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00
 3.9811e+00, 5.0119e+00, 4.3702e+00, 2.5577e+07, 1.8011e+07
 5.0119e+00, 6.3096e+00, 5.6682e+00, 9.1419e+06, 9.1419e+06
 6.3096e+00, 7.9433e+00, 7.1117e+00, 2.7489e+07, 1.2584e+07
 7.9433e+00, 1.0000e+01, 9.1587e+00, 1.9820e+07, 1.0425e+07
 1.0000e+01, 1.2589e+01, 1.1420e+01, 2.4814e+07, 1.1484e+07
 1.2589e+01, 1.5849e+01, 1.4419e+01, 9.1071e+07, 3.9206e+07
 1.5849e+01, 1.9953e+01, 1.8282e+01, 9.1405e+07, 2.5973e+07
 1.9953e+01, 2.5119e+01, 2.2590e+01, 6.8582e+07, 2.1604e+07
 2.5119e+01, 3.1623e+01, 2.8376e+01, 1.4170e+08, 3.0896e+07
 3.1623e+01, 3.9811e+01, 3.5767e+01, 1.2744e+08, 3.0802e+07
 3.9811e+01, 5.0119e+01, 4.4467e+01, 8.9795e+07, 2.0574e+07
 5.0119e+01, 6.3096e+01, 5.5308e+01, 2.0794e+08, 3.5082e+07
 6.3096e+01, 7.9433e+01, 7.2550e+01, 2.2064e+08, 3.5524e+07
 7.9433e+01, 1.0000e+02, 9.0313e+01, 2.3267e+08, 3.7383e+07
 1.0000e+02, 1.2589e+02, 1.1191e+02, 3.2349e+08, 4.2402e+07
 1.2589e+02, 1.5849e+02, 1.4124e+02, 4.9941e+08, 5.3868e+07
 1.5849e+02, 1.9953e+02, 1.7901e+02, 5.0621e+08, 5.4316e+07
 1.9953e+02, 2.5119e+02, 2.2657e+02, 6.8341e+08, 6.3695e+07
 2.5119e+02, 3.1623e+02, 2.8471e+02, 1.0421e+09, 7.6775e+07
 3.1623e+02, 3.9811e+02, 3.5796e+02, 1.5419e+09, 1.0826e+08
 3.9811e+02, 5.0119e+02, 4.4764e+02, 2.1555e+09, 1.1650e+08
 5.0119e+02, 6.3096e+02, 5.6707e+02, 2.9362e+09, 1.3703e+08
 6.3096e+02, 7.9433e+02, 7.1486e+02, 4.1684e+09, 1.6221e+08
