'OMNIDIRECTIONAL FLUENCE ANALYSIS'
'MULASSIS tag ml-v01-26'
'geant4-10-01-patch-03 (5-February-2016)'
'File Created: Tue Nov 12 23:48:11 2024'
'FLU_BDY',  1, 2, ' '
'FLU_PAR', -1, 'proton', ' '
'FLU_AMN',  1,   0., 'deg'
'FLU_AMX',  1, 180., 'deg'
Lower edge of energy bin [keV], Upper edge of energy bin [keV], Mean energy of bin [keV], Fluence [particles/cm2/bin], Error in fluence/flux [particles/cm2/bin]
 1.0000e+00, 1.2589e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00
 1.2589e+00, 1.5849e+00, 1.2935e+00, 8.6042e+06, 8.6042e+06
 1.5849e+00, 1.9953e+00, 1.8065e+00, 3.6664e+06, 3.6664e+06
 1.9953e+00, 2.5119e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00
 2.5119e+00, 3.1623e+00, 2.6226e+00, 4.9429e+06, 4.9429e+06
 3.1623e+00, 3.9811e+00, 3.9160e+00, 9.7695e+06, 7.0550e+06
 3.9811e+00, 5.0119e+00, 4.1206e+00, 1.2189e+07, 9.0120e+06
 5.0119e+00, 6.3096e+00, 5.4628e+00, 1.2452e+07, 7.2215e+06
 6.3096e+00, 7.9433e+00, 7.2342e+00, 7.8860e+06, 5.5772e+06
 7.9433e+00, 1.0000e+01, 9.5944e+00, 1.0303e+07, 7.4206e+06
 1.0000e+01, 1.2589e+01, 1.1086e+01, 2.5935e+07, 1.0707e+07
 1.2589e+01, 1.5849e+01, 1.4194e+01, 7.4388e+07, 2.3779e+07
 1.5849e+01, 1.9953e+01, 1.8392e+01, 3.2502e+07, 1.4072e+07
 1.9953e+01, 2.5119e+01, 2.3477e+01, 4.3156e+07, 1.5197e+07
 2.5119e+01, 3.1623e+01, 2.8730e+01, 6.8421e+07, 2.3915e+07
 3.1623e+01, 3.9811e+01, 3.4998e+01, 4.9992e+07, 1.6238e+07
 3.9811e+01, 5.0119e+01, 4.4279e+01, 6.5158e+07, 1.8547e+07
 5.0119e+01, 6.3096e+01, 5.5118e+01, 1.1048e+08, 2.4736e+07
 6.3096e+01, 7.9433e+01, 7.1747e+01, 1.5861e+08, 2.8344e+07
 7.9433e+01, 1.0000e+02, 9.1438e+01, 1.2666e+08, 2.6960e+07
 1.0000e+02, 1.2589e+02, 1.1414e+02, 1.5404e+08, 2.7574e+07
 1.2589e+02, 1.5849e+02, 1.4189e+02, 2.4549e+08, 3.7432e+07
 1.5849e+02, 1.9953e+02, 1.8064e+02, 3.6077e+08, 4.5915e+07
 1.9953e+02, 2.5119e+02, 2.2548e+02, 3.8431e+08, 4.5463e+07
 2.5119e+02, 3.1623e+02, 2.8693e+02, 6.3844e+08, 6.3271e+07
 3.1623e+02, 3.9811e+02, 3.5486e+02, 1.0260e+09, 8.0427e+07
 3.9811e+02, 5.0119e+02, 4.5229e+02, 1.2636e+09, 8.9925e+07
 5.0119e+02, 6.3096e+02, 5.6779e+02, 1.8346e+09, 9.9361e+07
 6.3096e+02, 7.9433e+02, 7.1513e+02, 2.3210e+09, 1.1485e+08
