'OMNIDIRECTIONAL FLUENCE ANALYSIS'
'MULASSIS tag ml-v01-26'
'geant4-10-01-patch-03 (5-February-2016)'
'File Created: Tue Nov 12 23:45:53 2024'
'FLU_BDY',  1, 2, ' '
'FLU_PAR', -1, 'proton', ' '
'FLU_AMN',  1,   0., 'deg'
'FLU_AMX',  1, 180., 'deg'
Lower edge of energy bin [keV], Upper edge of energy bin [keV], Mean energy of bin [keV], Fluence [particles/cm2/bin], Error in fluence/flux [particles/cm2/bin]
 1.0000e+00, 1.2589e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00
 1.2589e+00, 1.5849e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00
 1.5849e+00, 1.9953e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00
 1.9953e+00, 2.5119e+00, 2.1343e+00, 5.0414e+06, 5.0414e+06
 2.5119e+00, 3.1623e+00, 2.9909e+00, 1.3646e+07, 9.8686e+06
 3.1623e+00, 3.9811e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00
 3.9811e+00, 5.0119e+00, 4.1663e+00, 3.9230e+06, 3.9230e+06
 5.0119e+00, 6.3096e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00
 6.3096e+00, 7.9433e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00
 7.9433e+00, 1.0000e+01, 9.2483e+00, 8.2191e+06, 5.8321e+06
 1.0000e+01, 1.2589e+01, 1.1711e+01, 1.1434e+07, 6.6110e+06
 1.2589e+01, 1.5849e+01, 1.4023e+01, 3.8471e+07, 1.4777e+07
 1.5849e+01, 1.9953e+01, 1.7679e+01, 2.6333e+07, 1.9833e+07
 1.9953e+01, 2.5119e+01, 2.0295e+01, 3.5621e+06, 3.5621e+06
 2.5119e+01, 3.1623e+01, 2.8376e+01, 3.2633e+07, 1.4946e+07
 3.1623e+01, 3.9811e+01, 3.4522e+01, 2.0920e+07, 1.0765e+07
 3.9811e+01, 5.0119e+01, 4.4155e+01, 2.2308e+07, 1.0062e+07
 5.0119e+01, 6.3096e+01, 5.5456e+01, 3.4580e+07, 1.3386e+07
 6.3096e+01, 7.9433e+01, 6.5394e+01, 4.7546e+07, 1.6570e+07
 7.9433e+01, 1.0000e+02, 9.0897e+01, 3.6841e+07, 1.4164e+07
 1.0000e+02, 1.2589e+02, 1.1297e+02, 7.7173e+07, 1.9633e+07
 1.2589e+02, 1.5849e+02, 1.3869e+02, 7.6591e+07, 2.1219e+07
 1.5849e+02, 1.9953e+02, 1.7744e+02, 7.6245e+07, 1.8761e+07
 1.9953e+02, 2.5119e+02, 2.2617e+02, 1.6434e+08, 3.0439e+07
 2.5119e+02, 3.1623e+02, 2.7915e+02, 2.1322e+08, 3.3088e+07
 3.1623e+02, 3.9811e+02, 3.5923e+02, 2.8975e+08, 3.9282e+07
 3.9811e+02, 5.0119e+02, 4.5057e+02, 4.7425e+08, 5.0572e+07
 5.0119e+02, 6.3096e+02, 5.6378e+02, 5.8800e+08, 5.9375e+07
 6.3096e+02, 7.9433e+02, 7.1147e+02, 9.9704e+08, 7.3343e+07
