'OMNIDIRECTIONAL FLUENCE ANALYSIS'
'MULASSIS tag ml-v01-26'
'geant4-10-01-patch-03 (5-February-2016)'
'File Created: Tue Nov 12 23:55:08 2024'
'FLU_BDY',  1, 1, ' '
'FLU_PAR', -1, 'proton', ' '
'FLU_AMN',  1,   0., 'deg'
'FLU_AMX',  1, 180., 'deg'
Lower edge of energy bin [keV], Upper edge of energy bin [keV], Mean energy of bin [keV], Fluence [particles/cm2/bin], Error in fluence/flux [particles/cm2/bin]
 1.0000e+00, 1.2589e+00, 1.1746e+00, 8.4145e+03, 3.8902e+03
 1.2589e+00, 1.5849e+00, 1.4805e+00, 4.0948e+04, 2.0661e+04
 1.5849e+00, 1.9953e+00, 1.8368e+00, 3.7329e+04, 2.1493e+04
 1.9953e+00, 2.5119e+00, 2.2822e+00, 5.9611e+04, 2.7207e+04
 2.5119e+00, 3.1623e+00, 2.7875e+00, 2.3634e+04, 6.2209e+03
 3.1623e+00, 3.9811e+00, 3.6140e+00, 1.0407e+05, 3.1740e+04
 3.9811e+00, 5.0119e+00, 4.5928e+00, 1.4445e+05, 5.4179e+04
 5.0119e+00, 6.3096e+00, 5.7160e+00, 3.1165e+05, 8.8891e+04
 6.3096e+00, 7.9433e+00, 7.6413e+00, 5.0740e+06, 4.7736e+06
 7.9433e+00, 1.0000e+01, 9.4383e+00, 1.6547e+06, 1.3526e+06
 1.0000e+01, 1.2589e+01, 1.1435e+01, 5.6810e+05, 7.7535e+04
 1.2589e+01, 1.5849e+01, 1.4417e+01, 5.7674e+05, 7.9076e+04
 1.5849e+01, 1.9953e+01, 1.8404e+01, 1.0784e+06, 3.1402e+05
 1.9953e+01, 2.5119e+01, 2.3062e+01, 8.1257e+05, 2.8683e+05
 2.5119e+01, 3.1623e+01, 2.8112e+01, 5.0722e+05, 7.4909e+04
 3.1623e+01, 3.9811e+01, 3.6562e+01, 1.0556e+06, 4.5387e+05
 3.9811e+01, 5.0119e+01, 4.5014e+01, 6.4963e+05, 1.4791e+05
 5.0119e+01, 6.3096e+01, 5.6472e+01, 4.3018e+05, 8.0133e+04
 6.3096e+01, 7.9433e+01, 7.1278e+01, 4.2568e+05, 1.1948e+05
 7.9433e+01, 1.0000e+02, 8.9651e+01, 2.8609e+05, 1.3628e+05
 1.0000e+02, 1.2589e+02, 1.1263e+02, 2.1895e+08, 1.0804e+06
 1.2589e+02, 1.5849e+02, 1.4168e+02, 2.3543e+08, 1.7408e+06
 1.5849e+02, 1.9953e+02, 1.7800e+02, 2.2942e+08, 1.3055e+06
 1.9953e+02, 2.5119e+02, 2.2429e+02, 2.1796e+08, 1.0731e+06
 2.5119e+02, 3.1623e+02, 2.8120e+02, 1.9170e+08, 9.8427e+05
 3.1623e+02, 3.9811e+02, 3.5425e+02, 1.6363e+08, 1.1515e+06
 3.9811e+02, 5.0119e+02, 4.4464e+02, 1.2575e+08, 1.1591e+06
 5.0119e+02, 6.3096e+02, 5.5998e+02, 9.2351e+07, 1.0618e+06
 6.3096e+02, 7.9433e+02, 7.0677e+02, 6.8808e+07, 5.5825e+05
 7.9433e+02, 1.0000e+03, 8.8837e+02, 5.7045e+07, 5.5251e+05
 1.0000e+03, 1.2589e+03, 1.1210e+03, 4.4748e+07, 5.1935e+05
 1.2589e+03, 1.5849e+03, 1.4039e+03, 3.3279e+07, 4.9387e+05
 1.5849e+03, 1.9953e+03, 1.7747e+03, 2.5135e+07, 3.6106e+05
 1.9953e+03, 2.5119e+03, 2.2382e+03, 1.9892e+07, 2.7770e+05
 2.5119e+03, 3.1623e+03, 2.8080e+03, 1.6442e+07, 4.3103e+05
 3.1623e+03, 3.9811e+03, 3.5353e+03, 1.2325e+07, 2.4440e+05
 3.9811e+03, 5.0119e+03, 4.4524e+03, 9.3228e+06, 2.1421e+05
 5.0119e+03, 6.3096e+03, 5.5993e+03, 6.7085e+06, 1.8688e+05
 6.3096e+03, 7.9433e+03, 7.0532e+03, 5.1805e+06, 1.4978e+05
 7.9433e+03, 1.0000e+04, 8.8860e+03, 4.5343e+06, 1.8982e+05
 1.0000e+04, 1.2589e+04, 1.1212e+04, 3.6188e+06, 1.2205e+05
 1.2589e+04, 1.5849e+04, 1.4032e+04, 3.0258e+06, 1.2721e+05
 1.5849e+04, 1.9953e+04, 1.7730e+04, 2.4948e+06, 9.0923e+04
 1.9953e+04, 2.5119e+04, 2.2387e+04, 2.4607e+06, 9.7756e+04
 2.5119e+04, 3.1623e+04, 2.8144e+04, 2.4224e+06, 1.3225e+05
 3.1623e+04, 3.9811e+04, 3.5559e+04, 2.3273e+06, 9.3013e+04
 3.9811e+04, 5.0119e+04, 4.4840e+04, 2.6444e+06, 9.8039e+04
 5.0119e+04, 6.3096e+04, 5.6433e+04, 3.1732e+06, 1.0470e+05
 6.3096e+04, 7.9433e+04, 7.1174e+04, 3.7350e+06, 1.1400e+05
 7.9433e+04, 1.0000e+05, 8.9342e+04, 4.0114e+06, 1.2553e+05
 1.0000e+05, 1.2589e+05, 1.1233e+05, 3.8309e+06, 1.1871e+05
 1.2589e+05, 1.5849e+05, 1.4068e+05, 3.9747e+06, 2.8394e+05
 1.5849e+05, 1.9953e+05, 1.7697e+05, 3.1119e+06, 1.3105e+05
 1.9953e+05, 2.5119e+05, 2.2370e+05, 2.5552e+06, 9.4029e+04
 2.5119e+05, 3.1623e+05, 2.7923e+05, 1.6258e+06, 6.7089e+04
 3.1623e+05, 3.9811e+05, 3.4353e+05, 8.6020e+05, 6.6532e+04
 3.9811e+05, 5.0119e+05, 0.0000e+00, 0.0000e+00, 0.0000e+00
 5.0119e+05, 6.3096e+05, 0.0000e+00, 0.0000e+00, 0.0000e+00
 6.3096e+05, 7.9433e+05, 0.0000e+00, 0.0000e+00, 0.0000e+00
 7.9433e+05, 1.0000e+06, 0.0000e+00, 0.0000e+00, 0.0000e+00
